;anne_hidalgo;bayrou;benoithamon;bruno_lemaire;cecileduflot;christineboutin;chtaubira;datirachida;eelv;evajoly;fhollande;fleurpellerin;fn_officiel;francoisfillon;harlemdesir;jf_cope;jlmelenchon;manuelvalls;martineaubry;mlp_officiel;modem;montebourg;nadine__morano;najatvb;nicolassarkozy;nk_m;partisocialiste;royalsegolene;ump;vpecresse;alainjuppe
mlp_officiel;9715.39971421788;13555.240246894495;2953.9377316983814;1585.8695264134453;9482.763389927728;4780.892667636255;3773.217013574093;2501.7089346811717;3359.06550075272;3882.862622998347;21431.697616105415;1774.1454105093474;16935.964473345593;15954.500852969339;1363.0681634638281;8656.164423291611;43282.87704718339;3507.8906106211343;4761.999825064314;246275.23493065272;895.1490825447679;8436.296553292701;3686.725103955444;4622.122172215428;33302.024121765935;9286.840709883183;2180.2624598746424;7171.363698918645;4724.642201938337;4057.276325721676;3725.796867888127
modem;1638.2192892375651;3168.1364042224554;5133.809406204866;379.3376434968804;1025.9650357368475;571.9865961716027;410.95978289597457;337.3539975469166;5649.858505673467;566.4356638517553;1917.893883036581;449.7003193273553;441.4651216674331;695.8834961441013;499.3137968333501;893.6946453287105;896.2601355294963;525.4144840808469;605.9964924345662;895.1490825447679;28840.571525415322;1122.7619084655612;492.0795404371615;737.3969531112432;1543.7097474264324;5590.838424489596;809.6612776020604;864.0136680774256;811.8154967424971;1457.7516054275095;722.5660708396539
montebourg;9885.881282420814;10714.38021310509;10051.950827750634;2079.6538585598364;12364.26669547319;4084.629118044887;6925.325668807148;2761.125896220898;4484.877098940043;5383.43766969148;18757.195320503168;7408.422914871928;1081.4642865474939;6767.366313410538;3531.192992511614;7020.413964005913;12922.13576873321;5938.652757803242;7430.321576105455;8436.296553292701;1122.7619084655612;55738.75263241156;3674.090696785891;12104.03881109968;7394.401901781053;8695.68377174838;4824.224714270608;11082.826267102839;2676.245834904307;4509.35658828222;4306.626096348626
nadine__morano;1988.7447063394804;4411.699211928052;2643.1185451077818;2226.2825913951656;3487.741505544116;2005.6117760593227;1958.9216291208186;3582.245495474177;840.6938818552424;1718.4330055598127;8419.577699605708;1801.5056687792517;758.5078482287188;3240.921868186124;1096.4604702418253;5005.654919192919;3467.991324597253;2280.7420193045655;1957.1810570529565;3686.725103955444;492.0795404371615;3674.090696785891;37146.05485753609;3624.387917990689;7465.535238638663;5724.647721718566;1353.373990219987;3571.128164624622;3241.1263302401458;4074.6142335628097;3598.9787584944243
najatvb;14366.656239986945;5594.688456395293;8456.808238549804;2020.9488662235246;11612.302532842748;1619.4135742677233;13545.999221610904;3359.867592866524;2306.3583193826908;3597.2619144934206;25793.695363662515;14143.910495088683;892.7008337444088;3670.762115416175;3541.866519156197;3745.272505933755;8478.975025144118;8269.229139572475;4393.683951068479;4622.122172215428;737.3969531112432;12104.03881109968;3624.387917990689;102149.31099652377;8025.788528419435;10932.218321047776;5148.794782260468;11311.126825355033;2343.368536044533;3078.6029160049425;4564.442334520623
nicolassarkozy;8180.413609729993;12765.398443949929;4018.120291986129;4480.490681930378;8083.421016704092;2354.5377690236155;5511.244448885275;5759.518339059131;1577.4532982634728;2575.7131491955756;51906.19417169095;3963.51764468993;3585.3072365655325;12164.591493700631;1807.049037227309;13986.663104581854;14457.061594823774;8458.031240493163;3257.329260462189;33302.024121765935;1543.7097474264324;7394.401901781053;7465.535238638663;8025.788528419435;385468.0516181169;18500.6367517043;3021.8045842182446;9511.055973367786;16615.386134838096;7179.936598832315;11625.612967927776
nk_m;18483.733126588897;10704.694029182538;10627.672164538477;4351.640027721998;11316.28906111949;3608.860275380633;4519.430733387642;4554.654620771539;8252.395403786499;3627.6706721607115;22894.051971458288;13053.276941055736;1139.343455239228;8111.551495627393;1992.395388568133;10600.950814601725;8706.452357303366;4056.031649830736;4608.966751879154;9286.840709883183;5590.838424489596;8695.68377174838;5724.647721718566;10932.218321047776;18500.6367517043;120328.54753310513;2442.7869956934637;6478.494996271651;6570.806593753924;10979.241298735393;7732.124513075019
partisocialiste;3718.3756565098975;2701.6546865543987;3894.4636566016015;919.1065167425177;3779.6492032292813;972.374674304686;3464.7951268841093;1109.642271446397;1912.184203873072;1668.9769716686887;8288.435857544966;2393.1398918754603;1192.6390144786435;1861.1262435939022;2867.585162209389;2082.7937228347664;3840.447545828764;2837.6265681756554;2752.0915992956757;2180.2624598746424;809.6612776020604;4824.224714270608;1353.373990219987;5148.794782260468;3021.8045842182446;2442.7869956934637;22948.1612133326;4268.648408294413;3144.911442989757;1345.3777873867468;1741.8837702051358
royalsegolene;6861.050696870178;7735.68845458191;6663.667269135225;1782.8572951267101;9418.08696267113;2394.5166897607733;6437.638378331886;3181.6454266215615;2476.244241024924;4838.137319793738;25199.653508567695;4750.076462662087;879.672634541463;3780.649302824482;2941.927329208655;5342.443088559924;7847.24767201129;6676.078198403209;7388.932298747058;7171.363698918645;864.0136680774256;11082.826267102839;3571.128164624622;11311.126825355033;9511.055973367786;6478.494996271651;4268.648408294413;60326.90688504725;2328.0672016009935;3795.03000323489;4125.124678660557
ump;1787.3302935566132;3172.4840374114947;1659.4669951093833;2998.1064054181993;2177.243543964808;1392.916724516116;1524.488058096664;2920.6122300287893;1063.5937722088668;927.9438982457326;5150.220326360136;1288.0248659478157;2255.351416572571;6677.129985773183;1090.7535995825983;7715.470421853802;2606.675034668324;1931.2993369846927;1045.8013412981727;4724.642201938337;811.8154967424971;2676.245834904307;3241.1263302401458;2343.368536044533;16615.386134838096;6570.806593753924;3144.911442989757;2328.0672016009935;32091.348114194847;4209.179673570361;5726.190151584242
vpecresse;4645.172705052027;4585.477826886664;3833.025757005479;3250.701429903876;4483.385322461032;2652.791406852692;1666.2239994799643;3284.6416429799697;2597.570238393266;2549.4268146167615;5452.627839173569;1922.5960332167645;572.3354975346087;5413.194606516925;1231.8657508631366;6888.076890381681;3384.93436305243;2011.665931866891;3009.8371294098774;4057.276325721676;1457.7516054275095;4509.35658828222;4074.6142335628097;3078.6029160049425;7179.936598832315;10979.241298735393;1345.3777873867468;3795.03000323489;4209.179673570361;28951.35425810626;4824.727525487265
